id;Artiest;Titel;Soort;Formaat;Jaar ;Persing;Staat;Kleur Vinyl;Code;Label;Aantal;Bijzonderheden;Afbeelding
1;Reverend Beat-Man;Get On Your Knees;CD;"12""";2001;Switserland;Near Mint;black;VRCD09;voodoo rythm;1;-;
2;Reverend Beat-Man;Get On Your Knees;LP + CD;"12""";2012;Switserland;Near Mint;black;VR-1209;voodoo rythm;1;Re-release incl. Poster & CD;
3;Reverend Beat-Man;Surreal Folk Blues Gospel Trash vol 1;LP;"12""";2007;Switserland;Near Mint;black;VR-1240;voodoo rhythm;1;-;
4;Reverend Beat-Man;Surreal Folk Blues Gospel Trash vol 2;LP;"12""";2007;Switserland;Near Mint;black;VR-1241;voodoo rhythm;1;-;
5;Reverend Beat-Man & the Church of Herpes;Your favourite position is on your knees;LP;"12""";2006;Switserland;Near Mint;black;VR-1228;voodoo rhythm;1;;
6;Die Lowlander;Hurt me;EP;"7""";1997;Switzerland;Near mint;black;vr 704;voodoo rhythm;1;;
7;Reverend Beat-Man;I Don't Need No Cocaine I Just Need My Hot Rod;Single;"7""";2010;US;Near Mint;black;GH-237;get hip recordings;1;-;
8;Reverend Beat-Man;Louise;Single;"7""";2013;Germany;Near Mint;orange;SR 17.104;Squoodge Records;1;Single Sided, Limited Edition, Mono, Orange,nr 054/200;
9;Reverend Beat-Man;Mililtürk;Flexi-disc;"7""";2011;Germany;Near Mint;black;SR 17.87;Squoodge Records;1;limited Edition;
10;Reverend Beat-Man;It's A Beat-Man's World;Single;"7""";2012;Germany;Near Mint;black;SR 17.92;Squoodge Records;1;-;
11;Lightning Beat-Man & His No Talent;Wrestling Rock'n'Roll;LP;"12""";2008;Switserland;Near Mint;black;VR1245;voodoo rythm;1;-;
12;Lightning Beat-Man & the Never Heard Of EMS;Apartment Wrestling Rock'n'roll;LP;"12""";1998;Switserland;Near Mint;black;VR1202;voodoo rythm;2; 2 verschillende versies: foto cover en masker cover;
13;Die Zorros;History Of Rock Vol. 7;LP;"12""";2010;Switserland;Near Mint;Black;VR-1215;voodoo rythm;1;-;
14;Die Zorros;Future;LP;"12""";2012;Switserland;Near Mint;Black;VR-1273;voodoo rythm;1;-;
15;Reverend Beat-Man;Surreal Flok Blues Gospel Trash Vol 3;DVD;-;2008;Switserland;Near Mint;-;VRDVD02;voodoo rythm;1;25 minutes bonus material;
16;Reverend Beat-Man;I'll Take Care Of You;POSTCARD;"7""";2012;Switserland;Near Mint;-;-;voodoo rythm;1;playable postcard (fucks up your LP-player);
17;Reverend Beat-Man;Ding Dong Baby;POSTCARD;"7""";2012;Switserland;near mint;-;-;voodoo rythm;1;-;
18;Various;Fistful of Trash;LP;"10""";2010;Germany;Near Mint;black;LS 100110;Squoodge Records;1;Limited to 475, verzamelaar, 1 nummer Rev. B. ;
19;Various;Dink Winkerton presenz;EP;"10""";;Switserland;Near Mint;black;VR 702;voodoo rythm;1;Preachers from the butt balloon = rev. B.;
20;various;Instant assholes (just add beer!);LP;"10""";1999;Germany;Near Mint;black;SoS 003;Sounds of Subterrania;1;Limited to 1000 copies, 1 nummer Lightning Beat-man;
21;various;Reverend Beatman's Dusty Record Cabinet Vol. 2;LP;"12""";2011;Switserland;Near Mint;black;MJCR012;MOI J'CONNAIS RECORDS;1;;
22;various;Reverend Beatman's Dusty Record Cabinet Vol. 1;LP;"12""";2010;Switserland;Near Mint;black;MJCR005;MOI J'CONNAIS RECORDS;1;;
23;Various;Jailbait;EP;"7""";1994;Belgium;Near Mint;black;DD 021;Demolition Derby;1;The Coronets = rev. B.;
24;Fifty Foot Combo & Reverend Beat Man;Alligator Wine (+2);EP;"7""";2014;ECC;Near Mint;black;DBR20071;Drunkabilly Records;1;nr. 379 van 500, op label staat 45 rpm, maar moet 33 zijn;
25;Reverend Beat-Man;Tale Tailors #1 : Broken Words With Rhythm And Poetry;LP;"12""";2014;France;Near Mint;White;CR007;Casbah Records;1;nr. 200 van 500;
26;Various;Mushroom Music Monoliths;LP;"12""";1999;Germany;Near Mint;black;301133;Swamp Records;1;750 copies, Monsters en Dead Moon;
27;Lightning Beat-Man / In-Sekt, The ?;Born Bad / Knock Knock;EP;"7""";1995;Belgium;Near Mint;black;DD 031;Demolition Derby;1;;
28;Lightning Beat-Man ?;Wrestling's Greatest Monthly Tournament;EP;"7""";1996;US;Near Mint;black;BOH 043;Bag Of Hammers;1;Edition of 800.;
29;Beatman;Beatman's World;6x Single box;"7""";2014;Germany;Near Mint;black;SR 17.109;Squoodge Records;1;500 copies only ;
30;Reverend Beat-Man;Strongest man alive;Single;"7""";2007;Switserland;Near Mint;White;SR 17.41-2;Squoodge Records;1;400 one sided copies in white wax with a black + white screen;
