id;Artiest;Titel;Soort;Formaat;Jaar ;Persing;Staat;Kleur Vinyl;Code;Label;Aantal;Bijzonderheden;Afbeelding
1;The Weeds;aka The Lollipop Shoppe;LP;"12""";2007;Germany;Near Mint;Zwart;MMLP 66026;Way Back records;1;Fred Cole vocals, origineel uit 1966-1971;
2;The Weeds;The Lollipop Shoppe;LP;"12""";;EEC;Mint;Zwart;TPT 209;Tapestry Records;1;Limited Edition 1000 Copies;
3;The Weeds;Little Girl / Its your time;Single;"7""";2011;USA;Mint;Zwart;TB-1006;Teenbeat Club Records;2;Limited Edition 500 Copies, nr. 478 en 479, Garage Greats reissue;
4;The Weeds;aka The Lollipop Shoppe;CD;;2007;Germany;;Zwart;MMCD 66026;Way Back records;1;Fred Cole vocals, origineel uit 1966-1971;
5;Range Rats;Range Rats;LP;"12""";2010;USA;Near Mint;Zwart;MR 063;Mississippi records;1;Recorded in 1985, Fred and Toody;
6;Deep Soul Cole;Sixties Rebellion,  Vol. 9: The Nightclub;LP;"12""";1994;Germany;Very Good;Zwart;MMLP 66013;Way Back records;1;Nummer 1, kant A: Fred Cole als Deep Soul Cole. Plastic zit vast aan hoes vandaar staat Very Good;
7;The Rats;The Rats;LP;"12""";2014;USA;Near mint;Zwart;MR-028;Mississippi / Little Axe;1;Mississippi Records ?– MR-028, Little Axe Records ?– MR-028, 2014 reissue. Labels have Mississippi Records and Little Axe Records (as opposed to the 2008 reissue;
8;The Rats;Intermittent Signals;LP;"12""";2014;USA;Near mint;Zwart;MR-039;Mississippi / Little Axe;1;Mississippi Records ?– MR-039, Little Axe Records ?– MR-039, 2014 repress of the 2009 Mississippi release.;
9;Zipper;Zipper;CD;;1994;Germany;;;MMCD 66017;Way Back records;2;Fred Cole vocals;
10;Zipper;Zipper;LP;"12""";1994;Germany;Very Good;Zwart;MMLP 66017;Way Back records;1;Fred Cole vocals;
11;Pierced Arrows;In my brain / Caroline;Single;"7""";2007;USA;Near Mint;Zwart;T-81;Tombstone records;1;Fred and Toody;
12;Pierced Arrows;Paranoia / Ain't Life Strange;Single;"7""";2008;USA;Near Mint;Zwart;T-84;Tombstone records;1;Back photo made at Vera;
