id;Artiest;Titel;Soort;Formaat;Jaar ;Persing;Staat;Kleur Vinyl;Code;Label;Aantal;Bijzonderheden;Afbeelding
1;The Monsters;Masks;LP + CD;"12""";2013;Switserland;Near Mint;black;VR1277;voodoo rythm;1;"Sticker on LP says: ""Including CD. Re-Issue from first Album";
2;The Monsters;The Hunch;LP + CD;"12""";2013;Switserland;Near Mint;green;VR1278;voodoo rythm;1;Including full Album on CD, Postcard & Label-Sticker;
3;The Monsters;Youth Against Nature;LP;"12""";1995;Switserland;VG;black;VR1221;voodoo rythm;1;300 copies were limited edition, red wax & gimik (kauwgombal heb ik in zakje);
4;The Monsters;In Hell;EP;"7""";1995;Germany;Near Mint;black;BANANA 3;Jungle Noise Records;1;1995 Kick-Ass Tour Single ;
5;The Monsters;Birds Eat Martians;LP;"12""";1998;Switserland;Near Mint;black;VR-1203;voodoo rythm;1;-;
6;The Monsters;I See Dead People;LP;"12""";2002;Switserland;Near Mint;black;VR-1214;voodoo rythm;1;Linernotes to all single tracks on back-cover;
7;The Monsters;…Pop Up Yours;LP + CD;"12""";2011;Switserland;Near Mint;black;VR1267;voodoo rythm;1;-;
8;The Monsters;Jungle Noise;LP;"10""";1994;Germany;Near Mint;black;Apecall 010;Positive Aggression Records;1;"10"" with label sleeve";
9;The Monsters;Split - Dead Moon: It's OK / Monsters: Burn my mind;Single;"7""";1996;Switserland;Very Good;black;JUNK 034;Record Junkie;1;Split single. Recorded Live at Reitschule, Bern 25-11-1995, limited edition (200 red, 800 black). Nummer DM: it's OK;
10;The Monsters;I Still Love Her;Single;"7""";2007;Germany;Near Mint;black;SFR-45-006;sound flat record;2;Released with gatefold sleeve and special 33-card game - The Monsters Quartett;
11;The Monsters;Split - The Monsters: Voodoo Rhythm Muddy Roots / The Ettes: You were there;single;"7""";2013;US;Near Mint;black;MRMR-0713005;Muddy Roots Music;1;;
12;The Monsters;Nightmare;EP;"7""";2013;Austria;Near Mint;black;BA-701;Bachelor Archives;1;Reissue on Bachelor Archives;
