id;Artiest;Titel;Soort;Formaat;Jaar ;Persing;Staat;Kleur Vinyl;Code;Label;Aantal;Bijzonderheden;Afbeelding
1;YOB;The Unreal Never Lived;2LP;"12""";2012;Germany;Near Mint;Wit;3984-1145327-1;Metal Blade Records;1;Limited pressing of 250 on 180G white vinyl in gatefold sleeve.;
2;YOB;Live At Roadburn;CD+DVD;-;2011;Netherlands;Near Mint;;RBR014;Roadburn Records;1;-;
3;YOB;Live At Roadburn;2LP;"12""";2012;Netherlands;Near Mint;Zwart;RBR014LP;Roadburn Records;1;Gold version comes with T-shirt. Black vinyl version (this one) does not.;
4;YOB;Live At Roadburn;2LP;"12""";2012;Netherlands;Near Mint;Goud;RBR024LP;Roadburn Records;1;Gold version came with T-shirt but that package sold out at Roadburn 2012. Pressing limited to 100 copies on gold vinyl.;
5;YOB;Catharsis;LP;"12""";2008;USA;Near Mint;Zwart;KR-17;Kreation Records;1;Limited edition of 1000 copies: 600 on black (this), 300 on white black blend, 100 green vinyl with red and yellow splatter;
6;YOB;Atma;2LP;"12""";2011;USA;Near Mint;Zwart;SPIN043;20 Buck Spin;1;Gatefold.;
7;YOB;The Illusion Of Motion;LP+Etch;"12""";2012;Germany;Near Mint;Zwart;3984-14313-1;Metal Blade Records;1;"180G black vinyl in gatefold sleeve. Limited to 500 copies. Side D has ""Shri Yantra"" etching";
8;YOB;Catharsis;LP;"12""";2014;USA;Near Mint;Gold;7258-1;Relapse records;1;LP, Album, Reissue, Gold, 2000 x Gold Standard Gram ;
9;YOB;The Great Cessation;2LP;"12""";2014;USA;Near Mint;Zwart;LORD117;Southern Lord;1;Contains 2 exclusive bonus tracks (D1 & D2) available on vinyl only.;
10;Mike Scheidt;Stay Awake;LP;"12""";2012;USA;Near Mint;Zwart;Thrill 303;Thrill Jockey;1;LP version in a gatefold jacket. Includes a free download coupon.;
